PCAT;PCAT_CL;PCAT_EE;PCAST;PCAST_CL;PCAST_EE;PANG;PANG_CO;PANG_CE;PANG_EE;PCAT_CO;PCAST_CO;GENERE;MES_NAIXEMENT;ANY_NAIXEMENT;AREA_TERRITORIAL;NATURALESA;HÀBITAT
89,24;81,82;100;81,69;77,27;94,44;88,33;78,57;91,67;100;88,89;66,67;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,01;90,91;77,78;65,48;68,18;61,11;69,17;71,43;58,33;100;88,89;66,67;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,84;90,91;94,44;87,63;86,36;88,89;93,33;92,86;91,67;100;88,89;88,89;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
62,35;61,36;66,67;71,52;61,36;83,33;48,75;42,86;62,5;16,67;55,56;77,78;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
93,84;95,45;88,89;87,95;90,91;83,33;92,92;92,86;95,83;83,33;100;88,89;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,72;100;61,11;80,13;86,36;72,22;62,92;57,14;70,83;50;88,89;77,78;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
85,4;86,36;77,78;91,57;90,91;88,89;86,25;100;87,5;50;100;100;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
87,15;93,18;77,78;85,96;86,36;88,89;95,42;100;95,83;83,33;88,89;77,78;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
92,17;95,45;88,89;71,36;72,73;66,67;88,75;100;87,5;66,67;88,89;77,78;H;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
79,52;81,82;72,22;69,32;63,64;83,33;59,58;64,29;54,17;66,67;88,89;55,56;D;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
66,54;63,64;61,11;74,32;63,64;83,33;74,58;78,57;79,17;50;88,89;88,89;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
85,28;100;72,22;94,39;95,45;100;92,5;100;100;50;66,67;77,78;H;12;2008;Consorci d'Educació de Barcelona;Pública;Més de 100000
87,63;86,36;88,89;94,12;95,45;94,44;85,83;92,86;91,67;50;88,89;88,89;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,24;86,36;94,44;87,9;86,36;94,44;75,83;92,86;66,67;66,67;100;77,78;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
64,27;59,09;61,11;44,72;50;27,78;0;0;0;0;88,89;66,67;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,48;88,64;83,33;87,3;81,82;94,44;67,92;57,14;70,83;83,33;100;88,89;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
85,08;81,82;83,33;69,7;72,73;66,67;83,75;78,57;87,5;83,33;100;66,67;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
;;;;;;;;;;;;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
93,31;97,73;88,89;87,95;90,91;83,33;86,25;85,71;87,5;83,33;88,89;88,89;H;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
72,63;86,36;55,56;74,49;79,55;61,11;60,83;57,14;66,67;50;66,67;88,89;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
